NO,STRESS,EFFICACY,DiasasterReadiness,PerReadiness,SelfProtection,EmergencyResponse,ClinicalManage,ProblemCope,EmotionCope,DisCope,ComSatisfaction,ComFatigue,BURNOUT,SECONDTRAMA
347,17,34,138,62,32,18,26,24,31,25,43,44,21,23
348,23,29,135,56,35,18,26,24,29,27,26,42,27,15
349,32,22,119,49,33,18,19,18,28,32,30,56,31,25
350,19,30,123,48,30,22,23,19,28,34,41,51,25,26
351,32,18,129,55,31,16,27,18,23,29,32,53,29,24
352,30,30,105,34,29,18,24,22,33,35,30,60,30,30
353,23,30,138,49,37,23,29,21,28,29,40,52,25,27
354,39,18,112,54,25,9,24,19,34,42,25,55,30,25
355,19,29,149,62,34,22,31,21,29,22,23,44,27,17
356,18,30,137,57,33,17,30,21,25,22,40,53,27,26
357,26,38,200,80,55,30,35,19,28,36,35,59,31,28
358,28,20,124,50,28,20,26,12,20,23,28,49,27,22
359,12,24,157,64,44,21,28,20,29,24,18,47,29,18
360,19,27,130,47,33,18,32,20,26,23,31,58,30,28
361,11,40,200,80,55,30,35,24,40,48,50,80,30,50
362,24,30,125,53,33,18,21,15,24,33,30,60,30,30
363,10,30,131,60,27,15,29,22,26,19,39,34,17,17
364,12,24,139,60,33,20,26,22,32,25,32,46,23,23
365,26,29,126,48,32,18,28,19,27,23,29,56,30,26
366,21,31,148,64,36,19,29,21,38,38,37,45,23,22
367,8,31,177,75,42,25,35,24,35,26,33,35,20,15
368,18,28,159,64,36,30,29,18,25,26,30,60,30,30
369,23,20,120,48,33,18,21,20,30,32,30,60,30,30
370,29,30,102,47,24,13,18,18,30,30,30,53,29,24
371,28,22,118,48,30,18,22,18,24,27,30,60,30,30
372,15,30,153,65,37,23,28,18,27,26,32,48,27,21
373,26,25,112,55,21,9,27,19,25,30,28,52,28,24
374,28,21,92,37,22,16,17,12,20,24,30,60,30,30
375,24,35,172,73,45,23,31,23,32,35,40,41,26,15
376,30,22,125,57,25,14,29,20,27,25,25,58,30,28
377,28,20,120,48,33,18,21,18,30,36,30,60,30,30
378,28,20,120,48,33,18,21,18,27,26,26,53,28,25
379,31,20,122,48,25,18,31,16,24,29,20,52,32,20
380,25,26,157,68,38,21,30,24,27,23,33,47,24,23
381,21,27,124,52,33,14,25,18,24,26,32,48,22,26
382,34,20,96,48,17,12,19,18,25,28,19,56,34,22
383,26,33,128,54,32,15,27,22,30,24,30,59,32,27
384,20,30,124,52,26,17,29,22,27,26,32,46,25,21
385,17,28,134,49,35,19,31,22,32,31,38,49,24,25
386,16,28,120,48,33,18,21,19,25,24,30,48,26,22
387,7,40,149,65,29,25,30,22,29,24,41,35,22,13
388,22,24,105,44,23,10,28,20,25,30,39,47,23,24
389,30,20,111,48,32,12,19,12,20,24,30,63,31,32
390,28,30,120,48,33,18,21,18,30,36,33,64,31,33
391,19,28,154,64,42,19,29,21,27,22,30,39,21,18
392,28,20,80,32,22,12,14,12,20,24,17,51,30,21
393,18,30,163,80,33,19,31,18,32,28,40,48,20,28
394,26,30,137,54,40,14,29,21,28,28,33,58,28,30
395,27,20,122,54,27,17,24,13,19,24,26,49,30,19
396,19,26,121,54,26,16,25,21,31,24,31,51,26,25
397,25,30,100,48,26,6,20,20,26,30,32,48,25,23
398,29,27,125,48,35,18,24,18,30,36,37,67,29,38
399,18,30,133,57,29,21,26,22,28,29,20,53,28,25
400,28,30,160,64,44,24,28,18,30,36,40,70,30,40
