NO,age,gender,edu,Marital,Religious,Ward,work_experience,Mindfulness,Stress,happiness
162,28,2,1,1,1,3,3,42,40,38
163,24,2,2,1,2,1,1,28,40,52
164,23,2,2,1,1,3,1,32,38,44
165,34,2,2,1,1,3,3,39,43,65
166,23,1,1,1,1,1,1,48,39,48
167,23,2,2,1,2,1,1,39,50,80
168,23,2,2,1,1,2,1,26,43,69
169,23,2,2,1,1,1,1,38,40,44
170,46,2,1,2,2,3,3,34,48,48
171,23,2,2,1,2,3,1,33,43,59
172,23,2,2,1,1,2,1,30,28,41
173,23,2,2,1,1,3,1,30,36,40
174,23,2,2,1,2,1,1,25,39,47
175,23,2,2,1,1,3,1,26,43,47
176,29,2,1,1,1,1,3,37,44,63
177,24,2,2,1,2,2,1,26,41,71
178,23,2,2,1,1,2,1,40,40,36
179,24,2,2,1,2,3,1,36,36,40
180,23,2,2,1,1,3,1,42,45,48
181,24,2,2,1,2,1,1,34,41,45
182,23,2,2,1,1,1,1,35,44,41
183,23,2,2,1,1,2,1,35,33,47
184,23,2,2,1,2,1,1,18,39,41
185,23,2,2,1,1,2,1,46,37,39
186,24,2,2,1,1,2,1,76,40,34
187,27,2,1,1,1,1,1,19,27,58
188,41,2,2,1,2,3,1,47,45,51
189,25,2,1,1,1,1,1,48,40,37
190,23,2,2,1,1,1,1,64,41,45
191,24,2,2,1,1,1,1,28,42,47
192,33,2,2,1,1,3,3,52,45,52
193,23,2,2,1,2,1,1,31,44,62
194,22,2,1,1,1,2,1,35,32,42
195,23,2,1,1,1,1,1,36,34,44
196,25,1,2,1,1,1,1,41,39,42
197,23,2,2,1,1,1,1,43,39,52
198,24,1,2,1,2,1,3,33,49,63
199,22,1,1,1,1,1,1,28,40,41
200,47,2,1,2,1,1,3,38,37,48
201,23,2,2,1,1,3,1,32,46,47
202,43,2,2,1,1,1,3,61,41,31
203,29,2,2,1,1,3,3,27,42,48
204,23,2,2,1,1,2,1,35,39,35
205,23,2,2,1,1,3,1,34,40,54
206,30,2,2,1,2,3,3,37,40,37
207,24,1,2,1,1,1,2,37,36,42
208,27,1,2,1,1,3,3,39,49,43
209,23,2,2,1,1,3,1,34,46,58
